filename,spot_count,texture_score,pigmentation,target_damage_score
actinic-comedones-2.jpeg,93,3.9710,0.0187,
actinic-comedones-3.jpeg,1355,10.1673,0.2710,
actinic-comedones-4.jpeg,1814,9.5297,0.3630,
actinic-comedones-5.jpeg,2555,15.0835,0.5110,
actinic-comedones-7.jpeg,316,8.7544,0.0634,
actinic-comedones-8.jpeg,700,15.2921,0.1402,
actinic-comedones-9.jpeg,1553,8.4372,0.3106,
allie_forehead_wf_sample.jpg,1232,7.8550,0.2465,
allie_forehead_wof_sample.jpg,592,4.7280,0.1185,
lentigo-adults-33.jpeg,323,6.9293,0.0647,
lentigo-adults-34.jpeg,1668,5.2949,0.3337,
lentigo-adults-50.jpeg,981,5.6501,0.1963,
lentigo-adults-51.jpeg,2234,4.0466,0.4470,
lentigo-adults-80.jpeg,3787,3.1657,0.7576,
lentigo-adults-81.jpeg,3407,2.6416,0.6815,
lentigo-adults-84.jpeg,1632,8.3040,0.3264,
lentigo-adults-86.jpeg,1150,8.0918,0.2302,
lentigo-adults-89.jpeg,303,4.6962,0.0608,
lentigo-adults-90.jpeg,198,8.4604,0.0397,
phototoxic-reactions-31.jpeg,1495,4.6515,0.2991,
phototoxic-reactions-84.jpeg,2464,6.2296,0.4929,
phototoxic-reactions-86.jpeg,3035,5.9808,0.6072,
sun-damaged-skin-39.jpeg,2413,7.0926,0.4828,
sun-damaged-skin-40.jpeg,5,6.4891,0.0011,
sun-damaged-skin-59.jpeg,3159,4.9162,0.6318,
sun-damaged-skin-60.jpeg,3444,4.2158,0.6888,
sunspots_sample.jpg,120,1.9522,0.0242,
sunspots_sample2.jpg,359,3.2703,0.0719,
will_forehead_wof_sample.jpg,1589,4.2554,0.3179,
